,endTime,artistName,trackName,msPlayed
1547,2021-08-17 08:41,The Score,Fire,231394
1548,2021-08-17 08:45,The Score,Fire,231394
1549,2021-08-17 08:47,The Score,Fire,97901
1550,2021-08-17 08:50,The Cab,Lock Me Up,209626
1551,2021-08-17 08:54,The Cab,Moon,196720
1552,2021-08-17 08:58,The Cab,Numbers,249066
1553,2021-08-17 09:02,The Cab,Stand Up,263213
1554,2021-08-17 09:06,The Cab,These Are The Lies,226426
1555,2021-08-17 09:09,The Cab,Lock Me Up,209626
1556,2021-08-17 09:14,The Cab,Moon,196720
1557,2021-08-17 09:18,The Cab,Numbers,249066
1558,2021-08-17 09:22,The Cab,Stand Up,263213
1559,2021-08-17 09:27,The Cab,These Are The Lies,226426
1560,2021-08-17 09:31,The Cab,Lock Me Up,209626
1561,2021-08-17 09:34,The Cab,Moon,196720
1562,2021-08-17 09:38,The Cab,Numbers,249066
1563,2021-08-17 09:44,The Cab,Stand Up,263213
1564,2021-08-17 09:48,The Cab,These Are The Lies,226426
1565,2021-08-17 09:51,The Cab,Lock Me Up,127367
1566,2021-08-17 09:54,Sam Smith,Diamonds,213869
1567,2021-08-17 10:00,Selena Gomez,Wolves,18782
1568,2021-08-17 10:00,Coldplay,Hymn for the Weekend,258266
1569,2021-08-17 10:03,*NSYNC,Bye Bye Bye,200400
1570,2021-08-17 10:06,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",158027
1571,2021-08-17 10:09,benny blanco,Eastside (with Halsey & Khalid),173799
1572,2021-08-17 10:13,The Chainsmokers,This Feeling,197946
1573,2021-08-17 10:16,The Chainsmokers,Hope,180120
1574,2021-08-17 10:19,The Chainsmokers,Sick Boy,193200
1575,2021-08-17 10:23,The Chainsmokers,Everybody Hates Me,223466
1576,2021-08-17 10:30,The Chainsmokers,You Owe Me,155158
1577,2021-08-17 10:33,The Chainsmokers,See The Way,177960
1578,2021-08-17 10:36,The Chainsmokers,Push My Luck,181853
1579,2021-08-17 10:43,The Chainsmokers,Kills You Slowly,213320
1580,2021-08-17 11:01,Alec Benjamin,Water Fountain,149948
1581,2021-08-17 11:10,Zara Larsson,Ruin My Life,190050
1582,2021-08-17 11:13,Zedd,Happy Now,207029
1583,2021-08-17 11:25,Ellie Goulding,Close To Me,139702
1584,2021-08-17 14:07,The Chainsmokers,Kills You Slowly,213200
1585,2021-08-17 14:11,Billie Eilish,Six Feet Under,7500
1586,2021-08-17 14:11,Alec Benjamin,Water Fountain,199895
1587,2021-08-17 14:11,5 Seconds of Summer,Youngblood,700
1588,2021-08-17 14:11,5 Seconds of Summer,Youngblood,280
1589,2021-08-17 14:14,5 Seconds of Summer,Youngblood,203418
1590,2021-08-17 15:18,Alan Walker,Alone,89719
1591,2021-08-17 15:22,Alan Walker,Diamond Heart,240333
1592,2021-08-17 15:25,Imagine Dragons,Bullet In A Gun,204853
1593,2021-08-17 15:26,Imagine Dragons,Only,68315
1594,2021-08-17 15:40,Sam Smith,Diamonds,203097
1595,2021-08-17 16:34,Sam Smith,Diamonds,12127
1596,2021-08-17 16:59,Coldplay,Hymn for the Weekend,231004
1597,2021-08-18 01:47,Coldplay,Hymn for the Weekend,239696
1598,2021-08-18 01:50,The Cab,Lock Me Up,209626
1599,2021-08-18 01:53,The Cab,Moon,196720
1600,2021-08-18 01:58,The Cab,Numbers,249066
1601,2021-08-18 02:02,The Cab,Stand Up,263213
1602,2021-08-18 02:06,The Cab,These Are The Lies,226426
1603,2021-08-18 02:07,Why Don't We,Fallin’ (Adrenaline),6061
1604,2021-08-18 02:11,Maroon 5,Cold (feat. Future),7308
1605,2021-08-18 02:11,Maroon 5,Cold (feat. Future),234308
1606,2021-08-18 02:15,Coldplay,Hymn for the Weekend,258266
1607,2021-08-18 02:18,OneRepublic,Run,169010
1608,2021-08-18 02:21,The Score,Money Run Low,185466
1609,2021-08-18 02:25,Nick Jonas,Jealous,223106
1610,2021-08-18 02:28,James Bay,Peer Pressure,176826
1611,2021-08-18 02:30,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",94203
1612,2021-08-18 02:40,Thomas Rhett,On Me (feat. Ava Max),43158
1613,2021-08-18 05:26,Thomas Rhett,On Me (feat. Ava Max),69144
1614,2021-08-18 05:32,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",266006
1615,2021-08-18 05:35,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",145995
1616,2021-08-18 05:40,The Cab,Lock Me Up,209562
1617,2021-08-18 05:43,The Cab,Moon,196685
1618,2021-08-18 05:48,The Cab,Numbers,248939
1619,2021-08-18 05:54,The Cab,Stand Up,262013
1620,2021-08-18 05:58,The Cab,These Are The Lies,226427
1621,2021-08-18 06:00,The Cab,Lock Me Up,152439
